order_id,order_date,customer_name,city,state,country,region,category,sub_category,product_name,quantity,unit_price,discount,revenue,profit,payment_mode,source,log_revenue,log_profit,log_unit_price,has_discount,month_num,profit_margin,cluster_kmeans,cluster_dbscan,pca1,pca2,segment,iso_label,iso_score,lof_label,lof_score,dbscan_label,vote_iso,vote_lof,vote_dbscan,vote_total,is_anomaly,iso_label,iso_score,lof_label,lof_score,dbscan_label,vote_total,is_anomaly,revenue_winsor,profit_winsor,unit_price_winsor,is_outlier_revenue,is_outlier_profit,is_outlier_unit_price
1,2024-10-19,Kashvi Varty,Bangalore,Unknown,India,South,Books,Non-Fiction,Non-Fiction Ipsum,2,36294.0,5,68958.6,10525.09,Debit Card,EC_2024_2025,11.141276104856717,9.26161221613368,10.49943526971894,1,10,0.1526291137001018,2,0,-0.0512308637248564,-0.2824697345346672,Premium,1,-0.41835070392555485,1,1.008423912285616,-1,0,0,1,1,0,1,-0.41835070392555485,1,1.008423912285616,-1,1,0,68958.6,10525.09,36294.0,0,0,0
2,2025-08-30,Advik Desai,Delhi,Unknown,India,North,Groceries,Rice,Rice Nemo,1,42165.0,20,33732.0,6299.66,Debit Card,EC_2024_2025,10.426231865695646,8.74840966879724,10.64936948807994,1,8,0.1867561958970655,2,0,-0.7955289836937548,-0.8413083086777523,Premium,1,-0.44889941616826373,1,0.9869647683479199,-1,0,0,1,1,0,1,-0.44889941616826373,1,0.9869647683479199,-1,1,0,33732.0,6299.66,42165.0,0,0,0
3,2023-11-04,Rhea Kalla,Patna,Unknown,India,East,Kitchen,Juicer,Juicer Odio,4,64876.0,20,207603.2,19850.27,Credit Card,EC_2024_2025,12.243388661283095,9.89602326391758,11.080248448509378,1,11,0.095616397049756,2,0,1.5394243256109736,0.4848018537252898,Premium,1,-0.4320319776959045,1,0.9694865255655237,-1,0,0,1,1,0,1,-0.4320319776959045,1,0.9694865255655237,-1,1,0,207603.2,19850.27,64876.0,0,0,0
4,2025-05-23,Anika Sen,Kolkata,Unknown,India,East,Groceries,Oil,Oil Doloribus,5,37320.0,15,158610.0,36311.02,UPI,EC_2024_2025,11.974209942650443,10.49990409491826,10.527311449886325,1,5,0.2289327280751514,2,0,1.5997398091968884,1.2083225261270032,Premium,1,-0.47240450058531663,1,0.9897882014748763,-1,0,0,1,1,0,1,-0.47240450058531663,1,0.9897882014748763,-1,1,0,158610.0,36311.02,37320.0,0,0,0
5,2025-01-19,Akarsh Kaul,Pune,Unknown,India,West,Clothing,Kids Wear,Kids Wear Quo,1,50037.0,10,45033.3,9050.04,Debit Card,EC_2024_2025,10.71517970063085,9.110634947218577,10.820537995756524,1,1,0.2009632871674916,2,0,-0.3817183787202988,-0.910383964074062,Premium,1,-0.4493034933322713,1,0.9856070917917863,-1,0,0,1,1,0,1,-0.4493034933322713,1,0.9856070917917863,-1,1,0,45033.3,9050.04,50037.0,0,0,0
6,2025-04-06,Vardaniya Jayaraman,Pune,Unknown,India,West,Furniture,Chair,Chair Assumenda,5,40287.0,15,171219.75,23722.84,Credit Card,EC_2024_2025,12.050708938616284,10.074235728710615,10.603808936844072,1,4,0.1385520069968555,2,0,1.477011420785649,1.1771176653222772,Premium,1,-0.45288295481483537,1,1.033416485469871,-1,0,0,1,1,0,1,-0.45288295481483537,1,1.033416485469871,-1,1,0,171219.75,23722.84,40287.0,0,0,0
7,2023-10-13,Drishya Khare,Mumbai,Unknown,India,West,Clothing,Accessories,Accessories Minima,2,3636.0,5,6908.4,680.26,Debit Card,EC_2024_2025,8.840638082311541,6.523944024768802,8.19891444498699,1,10,0.0984685310636184,0,0,-3.767016327345974,0.6417048418029371,Entree_gamme,1,-0.5656777654393553,1,1.0167435491848003,-1,0,0,1,1,0,1,-0.5656777654393553,1,1.0167435491848003,-1,1,0,6908.4,680.26,3636.0,0,0,0
8,2025-08-17,Misha Dua,Lucknow,Unknown,India,North,Books,Biography,Biography Vel,1,15885.0,10,14296.5,1289.03,Debit Card,EC_2024_2025,9.567839975789472,7.162420752899259,9.673193497193076,1,8,0.0901640261602427,0,0,-2.512682948953578,-0.450002983509243,Entree_gamme,1,-0.5041656368749634,1,1.0357763589415592,-1,0,0,1,1,0,1,-0.5041656368749634,1,1.0357763589415592,-1,1,0,14296.5,1289.03,15885.0,0,0,0
9,2025-03-07,Arhaan Vala,Jaipur,Unknown,India,North,Groceries,Spices,Spices Expedita,1,40834.0,20,32667.2,3700.89,Credit Card,EC_2024_2025,10.39415740665852,8.216598779023695,10.617294835792377,1,3,0.1132907013763005,0,0,-1.0826283266026488,-0.8288759905223088,Entree_gamme,1,-0.45290662251048863,1,1.0041042742481516,-1,0,0,1,1,0,1,-0.45290662251048863,1,1.0041042742481516,-1,1,0,32667.2,3700.89,40834.0,0,0,0
10,2024-12-02,Lavanya Hayer,Goa,Unknown,India,West,Kitchen,Juicer,Juicer Voluptatibus,2,16686.0,15,28366.2,5703.09,UPI,EC_2024_2025,10.252988827126718,8.648938740370776,9.722385252146903,1,12,0.2010523087336266,0,0,-1.215915764156516,0.0304091744244028,Entree_gamme,1,-0.45548751448400915,1,1.003057874231646,-1,0,0,1,1,0,1,-0.45548751448400915,1,1.003057874231646,-1,1,0,28366.2,5703.09,16686.0,0,0,0
